gset_id,n,seed,configuration,conditional_rounding,dual_init_mode,dual_burn_in,effective_dual_init,lambda_min,initial_cut,raw_cut,best_relaxed_expected_cut,refined_cut,refinement_gain,initialization_seconds,solve_seconds,refinement_seconds,perturbations
1,800,0,spectral-500,1,spectral,500,15.774152755737305,-13.274151719972425,9688.0,11594.0,11489.9189453125,11608.0,14.0,0.007516333003877662,2.3349849580044975,0.08536208300211001,0
1,800,1,spectral-500,1,spectral,500,15.774152755737305,-13.274151726808416,9641.0,11604.0,11491.4052734375,11606.0,2.0,0.005838458993821405,2.3433932499974617,0.13058858299336862,0
1,800,2,spectral-500,1,spectral,500,15.774152755737305,-13.274151720871265,9683.0,11604.0,11513.0205078125,11604.0,0.0,0.006238917005248368,2.3593337920028716,0.04455508300452493,0
1,800,3,spectral-500,1,spectral,500,15.774152755737305,-13.274151718377711,9691.0,11610.0,11517.0078125,11613.0,3.0,0.0058146250012214296,2.374657042004401,0.13494912500027567,0
1,800,4,spectral-500,1,spectral,500,15.774152755737305,-13.274151720383205,9686.0,11617.0,11538.1103515625,11617.0,0.0,0.006398582998372149,2.3603792089998024,0.04571120799664641,0
11,800,0,spectral-500,1,spectral,500,5.946461200714111,-3.4464609259988293,52.0,546.0,544.0,548.0,2.0,0.0024599579992354847,0.4666575000010198,0.013432166997517925,0
11,800,1,spectral-500,1,spectral,500,5.946461200714111,-3.446460928059825,64.0,532.0,532.0,532.0,0.0,0.0025270830010413192,0.4490138749970356,0.006658083999354858,0
11,800,2,spectral-500,1,spectral,500,5.946461200714111,-3.4464609276141864,36.0,540.0,536.089599609375,540.0,0.0,0.0025463329948252067,0.44753258299897425,0.006701500002236571,0
11,800,3,spectral-500,1,spectral,500,5.946461200714111,-3.4464609257183647,46.0,538.0,534.0,542.0,4.0,0.0024147910007741302,0.44724691699957475,0.013281625004310627,0
11,800,4,spectral-500,1,spectral,500,5.946461200714111,-3.446460927515922,50.0,538.0,536.0696411132812,538.0,0.0,0.0024167920055333525,0.43047895800555125,0.00685620799777098,0
14,800,0,spectral-500,1,spectral,500,12.70236587524414,-10.202365315132036,2395.0,3028.0,3019.965087890625,3028.0,0.0,0.002037042002484668,0.7974119170030463,0.014728958994965069,0
14,800,1,spectral-500,1,spectral,500,12.70236587524414,-10.202365311886638,2393.0,3025.0,3013.3486328125,3025.0,0.0,0.0019218749948777258,0.791769541996473,0.012776415998814628,0
14,800,2,spectral-500,1,spectral,500,12.70236587524414,-10.202365311892137,2383.0,3027.0,3019.57958984375,3027.0,0.0,0.001989165997656528,0.806583125006,0.014748583002074156,0
14,800,3,spectral-500,1,spectral,500,12.70236587524414,-10.202365313001089,2384.0,3028.0,3021.15234375,3028.0,0.0,0.0019333329983055592,0.7951902089989744,0.013677707996976096,0
14,800,4,spectral-500,1,spectral,500,12.70236587524414,-10.202365311212326,2430.0,3025.0,3015.6904296875,3025.0,0.0,0.0018949590012198314,0.7941082080069464,0.015058584001963027,0
22,2000,0,spectral-500,1,spectral,500,11.615219116210938,-9.11521777321344,10130.0,13281.0,13253.294921875,13283.0,2.0,0.008732374997634906,2.717972499995085,0.19995324999763397,0
22,2000,1,spectral-500,1,spectral,500,11.615219116210938,-9.11521777766198,10064.0,13272.0,13242.7978515625,13275.0,3.0,0.008799375005764887,2.7126774580028723,0.4065827500016894,0
22,2000,2,spectral-500,1,spectral,500,11.615219116210938,-9.115217779874632,10071.0,13284.0,13253.1357421875,13285.0,1.0,0.008762708006543107,2.7124179160018684,0.19953112500661518,0
22,2000,3,spectral-500,1,spectral,500,11.615219116210938,-9.115217776812345,10172.0,13247.0,13210.947265625,13247.0,0.0,0.008213999994040933,2.7165360409999266,0.0998552910023136,0
22,2000,4,spectral-500,1,spectral,500,11.615219116210938,-9.11521777451499,10148.0,13289.0,13263.740234375,13293.0,4.0,0.00917370800016215,2.7176943750018836,0.2001005839993013,0
70,10000,0,spectral-500,1,spectral,500,6.05684232711792,-3.556841780074142,5082.0,9329.0,9299.0,9338.0,9.0,0.019078000004810747,4.212337040997227,0.7356198750057956,11
70,10000,1,spectral-500,1,spectral,500,6.05684232711792,-3.556841781155874,5079.0,9328.0,9288.0,9336.0,8.0,0.019003542001883034,4.141494750001584,0.6557797499990556,1
70,10000,2,spectral-500,1,spectral,500,6.05684232711792,-3.556841781371902,5086.0,9347.0,9317.0,9355.0,8.0,0.01916737499414012,4.146848083000805,0.5893902500029071,8
70,10000,3,spectral-500,1,spectral,500,6.05684232711792,-3.556841781762763,5027.0,9332.0,9298.0,9337.0,5.0,0.019980875003966503,4.198405916999036,0.6786051250019227,0
70,10000,4,spectral-500,1,spectral,500,6.05684232711792,-3.55684178053317,5088.0,9325.0,9287.0,9330.0,5.0,0.019370124995475635,4.243884874995274,0.7220652089963551,15
