gset_id,n,seed,configuration,conditional_rounding,dual_init_mode,dual_burn_in,dual_anisotropy_start,dual_anisotropy_scale,effective_dual_init,effective_primal_lr,lambda_min,initial_cut,raw_cut,best_relaxed_expected_cut,refined_cut,refinement_gain,initialization_seconds,solve_seconds,refinement_seconds,perturbations
67,10000,0,spectral-0,0,spectral,0,0,1.0,3.565885305404663,0.035054410065219616,-3.5658849774413177,78.0,6808.0,nan,6808.0,0.0,0.08402899999782676,3.7619432499996037,0.004220416994940024,0
67,10000,1,spectral-0,0,spectral,0,0,1.0,3.565885305404663,0.03505441007070333,-3.56588497676961,20.0,6808.0,nan,6808.0,0.0,0.08054574999550823,3.7426032079965807,0.0035583749995566905,0
67,10000,2,spectral-0,0,spectral,0,0,1.0,3.565885305404663,0.03505441006941178,-3.5658849769335217,130.0,6814.0,nan,6814.0,0.0,0.07732037499954458,3.7474970409966772,0.0034630410009413026,0
70,10000,0,spectral-0,0,spectral,0,0,1.0,3.556842088699341,0.03511835733984692,-3.556841781393769,5082.0,9473.0,nan,9473.0,0.0,0.037676874999306165,3.2986590000000433,0.0036152500033495016,1365656
70,10000,1,spectral-0,0,spectral,0,0,1.0,3.556842088699341,0.03511835733814018,-3.5568417806651986,5079.0,9471.0,nan,9471.0,0.0,0.036439333998714574,3.315484541999467,0.003586874998291023,1348217
70,10000,2,spectral-0,0,spectral,0,0,1.0,3.556842088699341,0.03511835733937698,-3.556841780847997,5086.0,9481.0,nan,9481.0,0.0,0.03636454200022854,3.32363279099809,0.0037185830005910248,1349238
72,10000,0,spectral-0,0,spectral,0,0,1.0,3.5636346340179443,0.035076549027154943,-3.5636343523408147,38.0,6848.0,nan,6848.0,0.0,0.04586787500011269,3.7457946670037927,0.003413375001400709,0
72,10000,1,spectral-0,0,spectral,0,0,1.0,3.5636346340179443,0.035076549033555414,-3.563634351891478,96.0,6854.0,nan,6854.0,0.0,0.04995525000413181,3.7678660420060623,0.0036029580005561,0
72,10000,2,spectral-0,0,spectral,0,0,1.0,3.5636346340179443,0.03507654902597796,-3.563634351726522,108.0,6854.0,nan,6854.0,0.0,0.048954500001855195,3.7458004580039415,0.003468249997240491,0
77,14000,0,spectral-0,0,spectral,0,0,1.0,3.6182587146759033,0.0345470060898656,-3.6182583743940935,206.0,9734.0,nan,9734.0,0.0,0.1231102089950582,5.286379541998031,0.00489962500432739,0
77,14000,1,spectral-0,0,spectral,0,0,1.0,3.6182587146759033,0.03454700610022006,-3.618258375629091,254.0,9732.0,nan,9732.0,0.0,0.12336204200255452,5.3212480829970445,0.004927959002088755,0
77,14000,2,spectral-0,0,spectral,0,0,1.0,3.6182587146759033,0.034547006096536007,-3.6182583735796863,206.0,9714.0,nan,9714.0,0.0,0.13581545800116146,5.354623583996727,0.004985249994206242,0
81,20000,0,spectral-0,0,spectral,0,0,1.0,3.631044626235962,0.03442535659667948,-3.631044272966672,136.0,13726.0,nan,13726.0,0.0,0.17766116600250825,7.9237632079966716,0.007375000001047738,0
81,20000,1,spectral-0,0,spectral,0,0,1.0,3.631044626235962,0.0344253565932624,-3.631044273364472,120.0,13732.0,nan,13732.0,0.0,0.1665547910015448,7.9678945830019074,0.006991750000452157,0
81,20000,2,spectral-0,0,spectral,0,0,1.0,3.631044626235962,0.03442535659536916,-3.6310442733146906,378.0,13734.0,nan,13734.0,0.0,0.17182895899895811,7.984390457997506,0.006913083998369984,0
