gset_id,n,seed,snapshots,kernel_rank_rows,kernel_kind,kernel_checkpoint,effective_dual_init,conditional_cut,conditional_refined_cut,kernel_cut,kernel_refined_cut,kernel_sdp_value,kernel_arcsine_expected_cut,spectral_upper,gw_certified_ratio,kernel_seconds,solve_seconds
1,800,0,31,10,checkpoint,300,15.774152755737305,11594.0,11608.0,11311.0,11501.0,11916.93188431994,11210.718882029172,12242.830345063392,0.8551801489611741,0.029443833998811897,2.3373644160019467
1,800,1,31,10,checkpoint,300,15.774152755737305,11604.0,11606.0,11343.0,11523.0,11937.056695128224,11206.253320637534,12242.830343524716,0.8566243411538365,0.029632000005221926,2.405143042000418
1,800,2,31,10,checkpoint,300,15.774152755737305,11604.0,11604.0,11336.0,11495.0,11913.116777096699,11214.108399962535,12242.830345042807,0.8549063701078572,0.029845666998880915,2.402907417003007
1,800,3,31,10,checkpoint,400,15.774152755737305,11610.0,11613.0,11329.0,11515.0,11932.288881098619,11222.27159881415,12242.830344405647,0.8562821943087933,0.028586417000042275,2.4089676660005352
1,800,4,31,10,checkpoint,300,15.774152755737305,11617.0,11617.0,11310.0,11514.0,11905.03310249778,11195.677762422969,12242.83034475605,0.8543262713142825,0.028931999993801583,2.380312959001458
3,800,0,31,10,checkpoint,300,15.973227500915527,11593.0,11599.0,11339.0,11542.0,11903.028244523526,11211.160358224504,12282.645303334439,0.8514135137870474,0.03078924999863375,2.426333875002456
3,800,1,31,10,checkpoint,300,15.973227500915527,11595.0,11596.0,11323.0,11505.0,11900.282629515223,11200.924824622853,12282.645304813967,0.8512171221718904,0.02982312499807449,2.4006263749979553
3,800,2,31,10,checkpoint,300,15.973227500915527,11584.0,11587.0,11339.0,11536.0,11924.956531711345,11205.07166775348,12282.645303666512,0.8529820255462298,0.02968762499949662,2.4268780830025207
3,800,3,31,10,checkpoint,300,15.973227500915527,11596.0,11601.0,11336.0,11480.0,11921.52532661203,11207.223638042442,12282.645303095785,0.8527365943955679,0.030575124997994862,2.4588659159999224
3,800,4,31,10,checkpoint,300,15.973227500915527,11593.0,11598.0,11319.0,11520.0,11880.537814224863,11208.006717037639,12282.645302939338,0.8498047924122497,0.029015042004175484,2.3768909170030383
14,800,0,31,10,checkpoint,2400,12.70236587524414,3028.0,3028.0,3003.0,3019.0,3067.3068234255097,2938.752512871154,4387.473062391821,0.6142112165877917,0.008639459003461525,0.7859422499968787
14,800,1,31,10,checkpoint,2400,12.70236587524414,3025.0,3025.0,3005.0,3017.0,3060.0736151927013,2947.1896648451175,4387.473062857668,0.6127628066034566,0.009737708001921419,0.8512795419956092
14,800,2,31,10,checkpoint,2300,12.70236587524414,3027.0,3027.0,2991.0,3018.0,3067.75786234541,2925.2499200105276,4387.4730624800895,0.6143015346230455,0.00833345799765084,0.8516986670001643
14,800,3,31,10,checkpoint,2400,12.70236587524414,3028.0,3028.0,3003.0,3015.0,3066.0913366973214,2951.2116832091097,4387.473062336636,0.6139678221048276,0.008853041996189859,0.8319189169997117
14,800,4,31,10,checkpoint,2400,12.70236587524414,3025.0,3025.0,3002.0,3019.0,3058.110598335231,2950.3222271147997,4387.473063414374,0.6123697232636339,0.009370833002321888,0.8311432909977157
22,2000,0,31,10,checkpoint,400,11.615219116210938,13281.0,13283.0,12783.0,13107.0,13767.328632582183,12622.744086319075,14552.60889018452,0.8311584169877455,0.03579770799842663,2.7419407089982997
22,2000,1,31,10,checkpoint,500,11.615219116210938,13272.0,13275.0,12731.0,13126.0,13773.83312571892,12628.902225163822,14552.60888671674,0.831551105147602,0.03546141699916916,2.7434456670016516
22,2000,2,31,10,checkpoint,500,11.615219116210938,13284.0,13285.0,12790.0,13089.0,13801.706522728287,12655.957875081043,14552.60888756796,0.8332338722614834,0.03577370800485369,2.768467874993803
22,2000,3,31,10,checkpoint,500,11.615219116210938,13247.0,13247.0,12745.0,13054.0,13784.67160214128,12632.124210898368,14552.608887908114,0.8322054434154216,0.03753808399778791,2.7455380840037833
22,2000,4,31,10,checkpoint,500,11.615219116210938,13289.0,13293.0,12761.0,13077.0,13783.754841579414,12643.56483056291,14552.608887936094,0.8321500969281082,0.03542712499620393,2.751376042004267
70,10000,0,31,10,checkpoint,1300,6.05684232711792,9329.0,9338.0,9149.0,9264.0,9640.57485468057,9086.93568852136,13891.604452252257,0.6097130742226025,0.08006566599942744,4.0850545419962145
70,10000,1,31,10,checkpoint,1300,6.05684232711792,9328.0,9336.0,9160.0,9283.0,9646.001116284362,9094.078161441339,13891.604449765433,0.6100562553862471,0.04947591699601617,4.019740499999898
70,10000,2,31,10,checkpoint,1300,6.05684232711792,9347.0,9355.0,9142.0,9291.0,9644.310646096446,9087.255495597154,13891.60445414526,0.609949342298092,0.04600324999773875,3.888676500006113
70,10000,3,31,10,checkpoint,1300,6.05684232711792,9332.0,9337.0,9144.0,9303.0,9642.818466694036,9087.94206478441,13891.604453769425,0.6098549702149683,0.04166941699804738,3.8655714170017745
70,10000,4,31,10,checkpoint,1300,6.05684232711792,9325.0,9330.0,9158.0,9295.0,9638.219937653865,9084.57184611191,13891.604450153862,0.6095641388288263,0.04873329200199805,3.7961878749993048
