gset_id,initialization,n,lambda_min,eigen_residual,initial_dual,initial_convex,first_saturation,cut_at_100,cut_at_500,cut_at_1000,final_cut,time_to_99pct_final_cut,final_v1_energy_fraction,final_rayleigh,runtime_seconds,eigen_seconds
67,center_uniform,10000,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,1,597,3474.0,5744.0,6300.0,6360.0,980,0.0019839385257249065,-2.5724,0.604107708997617,0.0419564999974682
67,v1_psd_margin,10000,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,1,241,1014.0,1016.0,1196.0,5716.0,2920,0.005023556622847625,-2.3324374690381826,0.6015474170017114,0.0419564999974682
67,v1_clip_threshold,10000,-3.5658849749508184,1.7528888507512503e-10,-1.5361558413757175,0,1,1016.0,1298.0,2564.0,5594.0,2150,0.004944854416185812,-2.266,0.6049637910000456,0.0419564999974682
70,center_uniform,10000,-3.5568417795053793,1.979276229404033e-10,3.6568417795053794,1,581,6870.0,8755.0,9117.0,9193.0,980,0.0001832579656350403,-1.6774,0.5697232910024468,0.017726791000313824
70,v1_psd_margin,10000,-3.5568417795053793,1.979276229404033e-10,3.6568417795053794,1,153,8875.0,8875.0,8891.0,8942.0,0,0.02232090176647758,-2.065393735180332,0.5500571670017962,0.017726791000313824
70,v1_clip_threshold,10000,-3.5568417795053793,1.979276229404033e-10,-1.5451990368211566,0,1,8875.0,8907.0,8917.0,8917.0,0,0.022354410565072095,-2.05291401472607,0.543729875000281,0.017726791000313824
72,center_uniform,10000,-3.5636343489911426,1.7270668086877486e-10,3.6636343489911427,1,600,3484.0,5806.0,6376.0,6448.0,1020,7.638611505821809e-05,-2.5804,0.6189472499972908,0.02609637499699602
72,v1_psd_margin,10000,-3.5636343489911426,1.7270668086877486e-10,3.6636343489911427,1,243,920.0,922.0,1062.0,5646.0,2930,0.007504205565333522,-2.2773841169533786,0.6141739580016292,0.02609637499699602
72,v1_clip_threshold,10000,-3.5636343489911426,1.7270668086877486e-10,-1.5384064673353932,0,1,920.0,1186.0,2410.0,5568.0,2190,0.007358384484000178,-2.2284,0.616478083000402,0.02609637499699602
77,center_uniform,14000,-3.6182583729295272,3.091229183942598e-10,3.7182583729295273,1,587,4900.0,8206.0,9002.0,9090.0,1000,0.0019968685051594223,-2.5674285714285716,0.9369891660026042,0.06500270799733698
77,v1_psd_margin,14000,-3.6182583729295272,3.091229183942598e-10,3.7182583729295273,1,245,842.0,846.0,1046.0,6902.0,2980,0.005043952606947513,-2.2889854408182257,0.9411702920006064,0.06500270799733698
77,v1_clip_threshold,14000,-3.6182583729295272,3.091229183942598e-10,-1.4837824433970086,0,1,844.0,1148.0,2246.0,7838.0,2690,0.004010157681482984,-2.2097142857142855,0.9445221249989117,0.06500270799733698
81,center_uniform,20000,-3.6310442720465286,2.5197026292767987e-10,3.7310442720465287,1,612,6914.0,11570.0,12756.0,12890.0,1010,0.0011715811245761566,-2.5746,1.2761640829994576,0.09316208400196047
81,v1_psd_margin,20000,-3.6310442720465286,2.5197026292767987e-10,3.7310442720465287,1,243,980.0,988.0,1136.0,7212.0,2980,0.004316235241670315,-2.3073851148590396,1.2890564999979688,0.09316208400196047
81,v1_clip_threshold,20000,-3.6310442720465286,2.5197026292767987e-10,-1.4709965442800073,0,1,980.0,1260.0,2452.0,10266.0,2970,0.002758119914625973,-2.2007142579793486,1.3000178750007763,0.09316208400196047
