gset_id,n,m,control_final_cut,spectral_dual_final_cut,full_spectral_final_cut,fixed_dual_spectral_final_cut
1,800,19176,11624.0,11215.0,11624.0,11624.0
2,800,19176,11607.0,11083.0,11615.0,11608.0
3,800,19176,11614.0,11071.0,11617.0,11622.0
4,800,19176,11641.0,11161.0,11646.0,11641.0
5,800,19176,11625.0,11044.0,11630.0,11623.0
6,800,19176,2173.0,2178.0,2178.0,2170.0
7,800,19176,1996.0,2006.0,2006.0,2000.0
8,800,19176,1997.0,2001.0,2004.0,1999.0
9,800,19176,2050.0,2052.0,2053.0,2049.0
10,800,19176,1999.0,1997.0,2000.0,1998.0
11,800,1600,556.0,558.0,560.0,520.0
12,800,1600,552.0,554.0,554.0,516.0
13,800,1600,578.0,578.0,580.0,546.0
14,800,4694,3047.0,3038.0,3035.0,3053.0
15,800,4661,3036.0,3031.0,3041.0,3038.0
16,800,4672,3040.0,3047.0,3045.0,3037.0
17,800,4667,3036.0,3035.0,3040.0,3037.0
18,800,4694,984.0,976.0,970.0,984.0
19,800,4661,903.0,900.0,882.0,897.0
20,800,4672,935.0,932.0,935.0,934.0
21,800,4667,923.0,911.0,925.0,923.0
22,2000,19990,13330.0,13345.0,13340.0,13346.0
23,2000,19990,13328.0,13316.0,13329.0,13333.0
24,2000,19990,13313.0,13311.0,13312.0,13311.0
25,2000,19990,13322.0,13311.0,13327.0,13313.0
26,2000,19990,13304.0,13302.0,13306.0,13311.0
27,2000,19990,3319.0,3320.0,3319.0,3327.0
28,2000,19990,3274.0,3276.0,3277.0,3283.0
29,2000,19990,3379.0,3372.0,3371.0,3379.0
30,2000,19990,3385.0,3389.0,3404.0,3398.0
31,2000,19990,3291.0,3299.0,3298.0,3297.0
32,2000,4000,1384.0,1394.0,1396.0,1328.0
33,2000,4000,1364.0,1366.0,1370.0,1340.0
34,2000,4000,1366.0,1370.0,1374.0,1302.0
35,2000,11778,7631.0,7642.0,7623.0,7634.0
36,2000,11766,7643.0,7623.0,7634.0,7639.0
37,2000,11785,7639.0,7614.0,7626.0,7647.0
38,2000,11779,7636.0,7628.0,7644.0,7649.0
39,2000,11778,2367.0,2369.0,2382.0,2374.0
40,2000,11766,2355.0,2343.0,2339.0,2356.0
41,2000,11785,2363.0,2363.0,2351.0,2361.0
42,2000,11779,2437.0,2439.0,2450.0,2447.0
43,1000,9990,6660.0,6659.0,6657.0,6660.0
44,1000,9990,6646.0,6649.0,6646.0,6649.0
45,1000,9990,6651.0,6652.0,6651.0,6652.0
46,1000,9990,6647.0,6641.0,6641.0,6643.0
47,1000,9990,6652.0,6651.0,6650.0,6657.0
48,3000,6000,6000.0,6000.0,6000.0,6000.0
49,3000,6000,6000.0,6000.0,6000.0,6000.0
50,3000,6000,5880.0,5878.0,5880.0,5562.0
51,1000,5909,3832.0,3833.0,3829.0,3835.0
52,1000,5916,3838.0,3823.0,3824.0,3838.0
53,1000,5914,3832.0,3834.0,3833.0,3831.0
54,1000,5916,3832.0,3816.0,3815.0,3834.0
55,5000,12498,10231.0,10229.0,10255.0,10249.0
56,5000,12498,3951.0,3947.0,3959.0,3962.0
57,5000,10000,3426.0,3436.0,3452.0,3224.0
58,5000,29570,19163.0,19138.0,19118.0,19154.0
59,5000,29570,5993.0,5948.0,5951.0,5960.0
60,7000,17148,14085.0,14079.0,14113.0,14101.0
61,7000,17148,5697.0,5713.0,5703.0,5719.0
62,7000,14000,4770.0,4786.0,4812.0,4528.0
63,7000,41459,26844.0,26810.0,26847.0,26840.0
64,7000,41459,8543.0,8563.0,8544.0,8530.0
65,8000,16000,5442.0,5460.0,5492.0,5200.0
66,9000,18000,6204.0,6242.0,6270.0,6126.0
67,10000,20000,6804.0,6838.0,6864.0,6734.0
70,10000,9999,9466.0,9500.0,9348.0,9317.0
72,10000,20000,6842.0,6860.0,6904.0,6730.0
77,14000,28000,9722.0,9750.0,9806.0,9346.0
81,20000,40000,13726.0,13758.0,13846.0,13572.0
